id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
940fe2ad-e8ca-4513-bc6c-36c1b4650a86,Sr. Lucca Oliveira,1935-08-23,060.566.412-64,87716509,Melo do Galho,AM,Brasil,M,31 6682-2225,06056641264@exemplo.com.br,2024-09-08
0c7512d9-8b4f-4dba-aa55-e21fef6e2e93,Sr. Gustavo Henrique Monteiro,1966-06-01,688.773.832-62,56469384,Dias Alegre,AL,Brasil,M,(021) 6185 7244,68877383262@exemplo.com.br,2024-01-19
0b8020c2-98b3-4fe1-81eb-829b11795369,Maitê Rocha,1998-03-24,754.075.841-19,15673615,Pimenta de Goiás,TO,Brasil,F,+55 11 4511-8612,75407584119@exemplo.com.br,2025-05-17
6c77d9c2-5ec7-4db2-b351-c11f76fa54c0,Luiz Gustavo Castro,1973-11-24,399.890.575-65,93556-376,Cavalcante,MS,Brasil,M,+55 81 4990 0325,39989057565@exemplo.com.br,2023-11-27
4aaa6c72-43de-4b5d-9575-53aad7ec6f63,José Silva,1991-08-14,004.169.053-90,81116721,Monteiro,MG,Brasil,M,0800-791-1323,00416905390@exemplo.com.br,2024-08-26
03959037-1831-4cd2-9a7b-ac47504df291,Pietra Fernandes,1997-11-20,505.624.303-56,66840814,da Conceição,RR,Brasil,M,+55 31 7396 6719,50562430356@exemplo.com.br,2024-07-01
c1f8f018-fdf3-4a99-87c9-f5236dd05290,Dra. Ester Siqueira,1999-03-20,065.667.422-96,48327-542,Cunha,SP,Brasil,M,+55 (021) 1849 6328,06566742296@exemplo.com.br,2024-12-13
6219e18c-d00a-4613-9cb5-2aeaf3be215b,Maria Isis Sousa,1982-02-17,043.902.664-62,79219138,Correia,PR,Brasil,M,11 8640 3667,04390266462@exemplo.com.br,2024-10-12
d9a87c54-b1c8-40a6-aa40-48b984b3a503,Vitor Gabriel Moraes,1936-01-19,045.359.927-38,43841985,Garcia de Cunha,SE,Brasil,F,(041) 7679-4011,04535992738@exemplo.com.br,2023-10-31
3a413f67-15d6-469d-a302-6eca009d7cd9,Maria Fernanda Garcia,1997-09-23,384.909.400-46,68304-046,Andrade,SP,Brasil,M,+55 81 9633-3746,38490940046@exemplo.com.br,2024-08-19
ec676c84-e017-420a-b605-31e30994649e,Juliana Ferreira,1990-04-09,200.695.768-24,57149-887,Leão,TO,Brasil,M,+55 (021) 8979-7860,20069576824@exemplo.com.br,2025-01-19
3f802ac5-547a-4758-a3d0-dd0a5dca1c72,Dr. Juan Novaes,1973-10-11,907.845.591-93,06956-511,da Luz,SC,Brasil,M,+55 (084) 3884-7366,90784559193@exemplo.com.br,2024-05-03
97c0b49c-2ff7-4840-aa4e-99dd8e764fd1,José Miguel Novaes,1964-07-31,184.217.411-55,47009-808,Viana,PB,Brasil,M,+55 (021) 8507 2261,18421741155@exemplo.com.br,2023-08-19
e794f24d-c88c-4505-a69e-1b2a4ca577f6,Ian Casa Grande,1986-08-18,762.625.560-42,07988597,Pinto do Campo,ES,Brasil,M,11 8394-4223,76262556042@exemplo.com.br,2024-09-01
d553f3f1-5bea-4e46-a210-03fdae8832c3,Luana da Rosa,1973-09-15,632.509.580-93,59778-505,Barbosa,RR,Brasil,M,(051) 1325-9132,63250958093@exemplo.com.br,2024-06-15
c5b90879-4370-4d8e-9dce-0dc3dea6e2e6,Davi Luiz Nunes,1959-02-12,638.072.926-74,07033012,Macedo,DF,Brasil,M,(011) 8548-4331,63807292674@exemplo.com.br,2024-02-03
bc04b4f1-daa9-4186-8ebe-a3f42ac340c0,Dr. Isaque Pinto,1970-08-31,492.861.028-46,48536758,Vieira,MS,Brasil,F,+55 81 6962 5083,49286102846@exemplo.com.br,2024-12-08
732a7811-8f2c-4424-b53c-eef8b5f61444,Leandro da Cruz,1954-09-11,569.206.619-69,38915-555,Cassiano dos Dourados,AM,Brasil,M,(084) 7971-8313,56920661969@exemplo.com.br,2025-01-22
cbfea21a-93ad-430f-8ef4-df67704eb30d,Maria Flor Silva,2002-02-05,848.785.493-46,47124-294,Machado Alegre,MS,Brasil,F,21 6861 4685,84878549346@exemplo.com.br,2025-02-06
0cc4aa4b-ad4f-41aa-823c-8f1e65028268,Cauã Albuquerque,2002-04-18,631.640.308-20,49165-100,Aragão,CE,Brasil,F,31 7411 0463,63164030820@exemplo.com.br,2024-03-08
004893d6-48c8-4d1e-a9a2-6fc84a836237,Sr. Paulo Pereira,1943-09-28,936.365.591-85,44249-297,Abreu,RJ,Brasil,M,(051) 2137-9291,93636559185@exemplo.com.br,2024-10-31
7736d60f-3fbb-4431-968e-7379449cee0b,Maya Montenegro,1937-04-08,919.626.788-51,84442468,Sales de Pastor,AL,Brasil,M,(071) 6338-8688,91962678851@exemplo.com.br,2023-10-23
f09fe32a-6c1d-4ecd-b6ba-57490eaf1ef5,Lunna Cavalcante,1994-05-15,839.103.419-52,90513640,Barros Grande,PB,Brasil,F,(041) 7803-5569,83910341952@exemplo.com.br,2025-03-14
2fd7b549-3e72-4167-bf27-6597612c28d5,Marcelo das Neves,1969-07-10,808.899.978-42,52004759,Fernandes,RO,Brasil,F,+55 (081) 5867-1363,80889997842@exemplo.com.br,2024-05-08
3da4e294-60f9-4e8f-a52a-159ac8405d0b,Vinicius Lima,1999-07-16,073.682.788-47,77566-500,da Luz da Prata,RJ,Brasil,F,+55 (081) 9072-7426,07368278847@exemplo.com.br,2025-04-04
d57ba5cf-31c2-4f4c-8cc3-a768b6dc0335,Maria Luiza Teixeira,1965-09-14,632.225.422-88,38426524,Azevedo,PB,Brasil,M,61 0441 0443,63222542288@exemplo.com.br,2024-03-13
4104c01f-c8a7-4eec-b0a8-fca96eba838a,Maitê Cirino,1937-04-08,290.075.722-69,66855-202,Abreu,SE,Brasil,M,+55 11 2129 8932,29007572269@exemplo.com.br,2025-05-10
c86664ae-39e5-4171-a95e-6954b34c07df,Maria Laura da Mota,1951-04-24,926.757.168-78,79686-672,Leão de Vieira,RS,Brasil,F,(011) 4519 2228,92675716878@exemplo.com.br,2025-06-02
9bf5831d-8308-42e7-8d6d-af5f78225aa8,Cauê Azevedo,1964-10-25,643.573.359-15,83571203,Costa Alegre,AM,Brasil,M,+55 (021) 6038 0454,64357335915@exemplo.com.br,2023-12-05
3a11fb3a-8dd9-4c5b-b40b-7d60d3d5ad11,Carlos Eduardo Pires,1941-07-05,099.638.317-33,13864351,Sampaio,PE,Brasil,M,81 7649-7997,09963831733@exemplo.com.br,2025-05-27
437451f9-348b-4139-8134-863f56b64238,Eduardo Dias,1936-10-14,435.389.973-84,63675-442,da Mata,GO,Brasil,F,51 6711 4502,43538997384@exemplo.com.br,2024-06-11
d83b5b87-8951-47b3-952d-4e2557dca408,Luiz Otávio Macedo,1986-12-08,056.075.829-72,19020591,Rocha,GO,Brasil,M,(031) 0935-2671,05607582972@exemplo.com.br,2024-02-01
7685d039-3c85-4fc8-9b27-f4b8329aeeac,Lara Freitas,1939-05-17,899.342.500-77,11661557,das Neves da Praia,DF,Brasil,F,+55 (051) 0317-0185,89934250077@exemplo.com.br,2024-03-21
fa70ebe3-0506-4085-89ff-021598ddf2ed,Isabel Novais,1985-08-21,594.799.203-92,36672071,Silva,SC,Brasil,F,(061) 3948-1314,59479920392@exemplo.com.br,2025-06-18
51d66c34-ea93-4e08-b611-4384c505d439,Elisa Almeida,1985-06-08,476.134.811-32,78243180,Campos,GO,Brasil,F,(071) 8715-1043,47613481132@exemplo.com.br,2024-11-03
a39d66a3-29a0-4821-94d3-80612f260c23,Nina Macedo,1974-01-17,344.831.113-45,34549-633,Ribeiro de da Mota,MG,Brasil,M,41 1264 5157,34483111345@exemplo.com.br,2025-05-20
18d27d3b-8461-4db4-8a7c-78e914794a35,Maria Júlia Garcia,1997-02-21,197.145.139-46,49458669,Ribeiro,MA,Brasil,F,(021) 5261 1224,19714513946@exemplo.com.br,2025-06-09
93c90b6b-adff-4799-a42d-525c2eacb755,Sophie Camargo,1941-06-22,197.189.084-92,92193-685,Ribeiro,MA,Brasil,M,61 9874-2649,19718908492@exemplo.com.br,2024-04-04
5ff933bc-4ed3-4597-bf18-f01d61c65ec8,Ravi Lucca Cassiano,1940-01-21,760.259.303-42,90853679,da Paz,RS,Brasil,F,+55 71 2034 1858,76025930342@exemplo.com.br,2024-12-02
500fcab4-4481-4cc5-bfd0-1051fe95c45c,Sr. Thales Garcia,1968-02-19,684.863.997-94,96441-167,Sampaio,TO,Brasil,M,+55 (041) 1149 8386,68486399794@exemplo.com.br,2024-03-04
9a558fb8-4e17-45c7-a0e3-519fe3375f4a,Bella Araújo,1971-12-30,517.584.233-47,46275862,Andrade de da Luz,AM,Brasil,F,+55 (081) 1198 4779,51758423347@exemplo.com.br,2024-10-06
9f419c5a-74bf-49ca-bd3f-c56bc8399733,Caio Santos,2002-12-25,361.468.728-12,94296984,Carvalho,PR,Brasil,F,0500-181-6064,36146872812@exemplo.com.br,2023-12-18
4bc5a722-317a-430d-84f3-642684c5aaf2,Sophie Pires,1952-10-19,100.361.809-15,01226777,Moraes do Campo,SE,Brasil,M,(051) 8342 7486,10036180915@exemplo.com.br,2025-06-09
